Full Response,Time Started(PT),Progress,Bullet Summary,Tagline,Quality score,Which of the following best describes your household?,Which of these activities has your child participated in during the past 12 months?,Which of the following challenges has your child experienced? Select all that apply.,Tell me about the last time your child attended a therapy or counseling session. What was it like?,What made you decide to seek therapy or support for your child in the first place?,What has been the most frustrating part of finding and maintaining the right therapy for your child?,"If your child has been in group therapy, think back to a specific session. How engaged was your child? What did they tell you about it afterwards?",What would an ideal group therapy session look like for your child?,How important are each of the following in a group therapy program for your child?,What's your initial reaction to that idea?,How comfortable would you be with your child participating in a session like this?,What would need to be true for you to feel fully comfortable with this kind of program?,"What concerns, if any, do you have about AI being involved in your child's therapy?",How would you feel about your child attending group therapy via video call rather than in person?,"If a program like this existed today — clinician-led group therapy with AI support, delivered via telehealth, for $50-100 per session — how likely would you be to try it?",What would make you choose this over your child's current therapy arrangement?,Tags,Other Remarks,Country,Gender,Ethnicity,Age,Year of birth of youngest child,short transcript
#1,"6/2, 10:36 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,23,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#2,"6/2, 10:36 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Mixed,31,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#3,"6/2, 10:36 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,63,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#4,"6/2, 10:36 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in therapy, sports, art/music, religious/community programs, and tutoring in the past 12 months.
- My child has been involved in multiple therapy types: school-based, family, group, cognitive integration, play, and individual therapy.",Engaged Parent of School-Age Children,2,I have children between 6 and 12 years old,"Therapy or counseling, Sports or physical activities, Art or music classes, Religious or community programs, Tutoring or academic support",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,40,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Therapy or counseling, Sports or physical activities, Art or music classes, Religious or community programs, Tutoring or academic support
• What type of therapy or counseling has your child been involved in? → School-based counseling, Family therapy, Group therapy, Cognitive integration therapy, Play therapy, Individual therapy (one-on-one)
• Thank you for your time, you did not meet the research criteria for this study! → "
#5,"6/2, 10:36 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,White,55,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#6,"6/2, 10:36 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,29,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#7,"6/2, 10:35 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Man,White,45,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#8,"6/2, 10:36 AM",Screened Out,- I have children under 6 years old.,Parent with young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Man,Mixed,40,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#9,"6/2, 10:36 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Man,White,61,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#10,"6/2, 10:36 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,28,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#11,"6/2, 10:37 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,43,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#12,"6/2, 10:36 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Man,White,52,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#13,"6/2, 10:37 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,26,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#14,"6/2, 10:36 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Man,Black,28,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#15,"6/2, 10:37 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,Black,46,,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#16,"6/2, 10:37 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,19,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#17,"6/2, 10:37 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,26,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#18,"6/2, 10:36 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,42,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#19,"6/2, 10:37 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,25,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#20,"6/2, 10:38 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Mixed,29,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#21,"6/2, 10:38 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Man,White,54,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#22,"6/2, 10:38 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Woman,White,36,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#23,"6/2, 10:38 AM",Screened Out,"- I have children aged 6–12.
- My child participated in sports or physical activities in the past year.
- My child received tutoring or academic support in the past year.
- My child took art or music classes in the past year.",Parent of school-age kids active in enrichment,2,I have children between 6 and 12 years old,"Sports or physical activities, Tutoring or academic support, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,37,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Tutoring or academic support, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#24,"6/2, 10:37 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,39,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
